subject,channel_set,n_channels,balanced_accuracy
1,All channels,64,0.6007905138339921
1,16 motor-region channels,16,0.8013833992094861
1,8 motor-region channels,8,0.8211462450592886
2,All channels,64,0.866600790513834
2,16 motor-region channels,16,0.9110671936758893
2,8 motor-region channels,8,0.8883399209486166
3,All channels,64,0.5563241106719368
3,16 motor-region channels,16,0.5108695652173914
3,8 motor-region channels,8,0.44367588932806323
4,All channels,64,0.599802371541502
4,16 motor-region channels,16,0.6640316205533596
4,8 motor-region channels,8,0.7351778656126482
5,All channels,64,0.5238095238095237
5,16 motor-region channels,16,0.3482142857142857
5,8 motor-region channels,8,0.41666666666666663
6,All channels,64,0.5
6,16 motor-region channels,16,0.4880952380952381
6,8 motor-region channels,8,0.5744047619047619
7,All channels,64,0.9555335968379447
7,16 motor-region channels,16,0.9337944664031621
7,8 motor-region channels,8,0.9555335968379447
8,All channels,64,0.6017786561264822
8,16 motor-region channels,16,0.5780632411067194
8,8 motor-region channels,8,0.5128458498023716
9,All channels,64,0.33035714285714285
9,16 motor-region channels,16,0.5297619047619048
9,8 motor-region channels,8,0.3958333333333333
10,All channels,64,0.5029761904761905
10,16 motor-region channels,16,0.7321428571428572
10,8 motor-region channels,8,0.7023809523809523
11,All channels,64,0.5543478260869565
11,16 motor-region channels,16,0.441699604743083
11,8 motor-region channels,8,0.42193675889328064
12,All channels,64,0.4226190476190476
12,16 motor-region channels,16,0.6220238095238095
12,8 motor-region channels,8,0.6488095238095238
13,All channels,64,0.6660079051383399
13,16 motor-region channels,16,0.6442687747035574
13,8 motor-region channels,8,0.7114624505928854
14,All channels,64,0.4426877470355731
14,16 motor-region channels,16,0.4209486166007905
14,8 motor-region channels,8,0.5088932806324111
15,All channels,64,0.708498023715415
15,16 motor-region channels,16,0.7104743083003953
15,8 motor-region channels,8,0.7786561264822134
16,All channels,64,0.5326086956521738
16,16 motor-region channels,16,0.3339920948616601
16,8 motor-region channels,8,0.44466403162055335
17,All channels,64,0.5335968379446641
17,16 motor-region channels,16,0.4258893280632411
17,8 motor-region channels,8,0.40019762845849804
18,All channels,64,0.39920948616600793
18,16 motor-region channels,16,0.44466403162055335
18,8 motor-region channels,8,0.3537549407114624
19,All channels,64,0.6679841897233202
19,16 motor-region channels,16,0.6669960474308301
19,8 motor-region channels,8,0.6650197628458498
20,All channels,64,0.6432806324110671
20,16 motor-region channels,16,0.44367588932806323
20,8 motor-region channels,8,0.37747035573122534
